input,model_response,answer
"

What is the recommended duration of ZEVTERA treatment for pediatric patients with CABP?",7 to 14 days,7 to 14 days
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 30-55 kg?",93 mg three times a day,93 mg three times a day
"

What serum calcium level must be achieved before starting YORVIPATH?",≥7.8 mg/dL,≥7.8 mg/dL
"

Can TRYVIO be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the recommended daily dosage of SOFDRA for axillary hyperhidrosis?",One pump per underarm once daily at bedtime,One pump per underarm once daily at bedtime
"

What is the maximum duration for using reconstituted LETYBO?",24 hours after reconstitution,24 hours after reconstitution
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 8-15 kg?",47 mg three times a day,47 mg three times a day
"

What is the minimum weight requirement for EBGLYSS treatment?",40 kg,40 kg
"

What is the recommended oral dosage of MIPLYFFA for patients weighing more than 55 kg?",124 mg three times a day,124 mg three times a day
"

What is the primary contraindication for KISUNLA?",Known serious hypersensitivity to donanemab-azbt or any of the excipients,Known serious hypersensitivity to donanemab-azbt or any of the excipients
"

What is the recommended infusion duration for ZEVTERA in adult patients?",2 hours,2 hours
"

What is the indicated age range for SOFDRA treatment?",9 years of age and older,9 years of age and older
"

What is the total daily dose of AQNEURSA for patients weighing between 25 kg to less than 35 kg?",3 grams,3 grams
"

How frequently should hemoglobin and platelet counts be monitored when starting WINREVAIR?","Before each dose for the first 5 doses, or longer if values are unstable, and periodically thereafter","Before each dose for the first 5 doses, or longer if values are unstable, and periodically thereafter"
"

How often can the YORVIPATH dose be increased?",No more often than every 7 days,No more often than every 7 days
"

What is the starting dose of YORVIPATH?",18 mcg once daily,18 mcg once daily
"

What should be done if a patient misses a dose of LAZCLUZE within 12 hours of the scheduled time?",Take the missed dose,Take the missed dose
"

What is the recommended injection volume of LETYBO per injection site?",0.1 mL per injection site,0.1 mL per injection site
"

What is the first dose reduction level of LAZCLUZE when adjusting for adverse reactions?",160 mg once daily,160 mg once daily
"

How frequently should YORVIPATH be administered?",Once weekly,Once daily with only one injection
"

How long should the first infusion of TEVIMBRA be administered?",60 minutes,60 minutes
"

What is the recommended dosage of REVUFORJ for patients weighing 40 kg or more when taking strong CYP3A4 inhibitors?",160 mg orally twice daily,160 mg orally twice daily
"

How long should patients wait after shaving before applying SOFDRA?",At least 8 hours,At least 8 hours
"

What is the recommended starting dose of VAFSEO for adults with CKD on dialysis?",300 mg orally once daily,300 mg orally once daily
"

Can MIPLYFFA be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the minimum age for which REVUFORJ is indicated?",1 year and older,1 year and older
"

What is the recommended storage temperature for reconstituted LETYBO?",Between 2°C to 8°C (36°F to 46°F),Between 2°C to 8°C (36°F to 46°F)
"

What is the minimum age for which LAZCLUZE is indicated?",6 years of age,18 years (adults only)
"

What is the indicated age group for YORVIPATH?",Adults only,Adults only
"

How long should patients wait after applying SOFDRA before showering?",At least 8 hours,At least 8 hours
"

How should LAZCLUZE tablets be taken with respect to food?",With or without food,With or without food
"

What is the minimum age requirement for EBGLYSS treatment?",12 years of age,12 years of age
"

What are the available tablet strengths for VAFSEO?","150 mg, 300 mg, and 450 mg","150 mg, 300 mg, and 450 mg"
"

For patients requiring a 2-gram dose of AQNEURSA, how many packets should be prepared?",Two packets,Two packets
"

What is the recommended dosage of REVUFORJ for patients weighing 40 kg or more without strong CYP3A4 inhibitors?",270 mg orally twice daily,270 mg orally twice daily
"

In what increments should the VAFSEO dose be adjusted to achieve target hemoglobin levels?",150 mg increments,150 mg increments
"

Is XOLREMDI recommended for patients with severe renal impairment?","No, it is not recommended","No, it is not recommended"
"

What should be done if a dose of WINREVAIR is missed?","Administer within 3 days of scheduled date; if beyond 3 days, adjust schedule to maintain 3-week dosing intervals","Administer within 3 days of scheduled date; if beyond 3 days, adjust schedule to maintain 3-week dosing intervals"
"

Should LEQSELVI dosing be adjusted if a dose is missed?",Skip the missed dose and resume at next scheduled dose,Skip the missed dose and resume at next scheduled dose
"

What is the recommended EXBLIFEP dosage for patients with eGFR greater than or equal to 130 mL/min?",2.5 grams every 8 hours with 4-hour infusion,2.5 grams every 8 hours with 4-hour infusion
"

Is there any difference in TEVIMBRA's effectiveness between elderly and younger adult patients?",No overall differences in safety or effectiveness were observed,No overall differences in safety or effectiveness were observed
"

What is the recommended dosage of REVUFORJ for patients weighing less than 40 kg without strong CYP3A4 inhibitors?",160 mg/m2 orally twice daily,160 mg/m2 orally twice daily
"

What platelet count is required to initiate WINREVAIR treatment?","≥50,000/mm³","Must be ≥50,000/mm3 (≥50 x 109/L)"
"

Should patients continue taking TRYVIO if they miss a dose?","Yes, continue with the next dose at the regular time",Skip the missed dose and take the next dose at the regular time. Do not take two doses on the same day.
"

What are the contraindications for AQNEURSA?",None,None
"

What is the minimum dose increment when adjusting YORVIPATH?",3 mcg,3 mcg
"

Can LEQSELVI be prescribed to pediatric patients?","No, it is not recommended","No, safety and effectiveness have not been established"
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 15-30 kg?",62 mg three times a day,62 mg three times a day
"

What is the adjusted dosage of XOLREMDI when used with strong CYP3A4 inhibitors?",200 mg daily,200 mg daily
"

What is the indicated age range for LETYBO treatment?",Adult patients only,Adult patients only
"

What is the indicated age range for VAFSEO treatment?",Adults only,Adults only
"

What is the evening dose of AQNEURSA for patients weighing 35 kg or more?",1 gram,1 gram
"

What are the contraindications for REVUFORJ?",None,None
"

What is the minimum age for which MIPLYFFA is indicated?",3 years of age,2 years of age
"

Is KISUNLA approved for use in pediatric patients?",No,No
"

Is TRYVIO recommended for patients with kidney failure or on dialysis?","No, it is not recommended","No, it is not recommended"
"

How much SOFDRA gel is delivered in each pump actuation?",0.67 mL of gel containing 72 mg sofpironium,0.67 mL of gel containing 72 mg sofpironium
"

How long should ANKTIVA be retained in the bladder during treatment?",2 hours,2 hours
"

What is the recommended ZEVTERA dosage for pediatric patients aged 3 months to less than 12 years with CABP?",20 mg/kg (up to 667 mg/dose) every 8 hours,20 mg/kg (up to 667 mg/dose) every 8 hours
"

What is the second dose reduction level of LAZCLUZE when adjusting for adverse reactions?",80 mg once daily,80 mg once daily
"

What are the contraindications for MIPLYFFA?",None,None
"

What is the maximum recommended daily dose of YORVIPATH?",30 mcg once daily,30 mcg once daily
"

How long can subsequent infusions of TEVIMBRA be administered if the first infusion is tolerated?",30 minutes,30 minutes
"

What medical conditions are contraindications for SOFDRA use?","Glaucoma, paralytic ileus, unstable cardiovascular status in acute hemorrhage, severe ulcerative colitis, toxic megacolon, myasthenia gravis, and Sjögren's syndrome","Glaucoma, paralytic ileus, unstable cardiovascular status in acute hemorrhage, severe ulcerative colitis, toxic megacolon, myasthenia gravis, and Sjögren's syndrome"
"

What is the standard recommended dosage of ORLYNVAH for treating uncomplicated UTIs?",One tablet (500 mg sulopenem etzadroxil and 500 mg probenecid) orally twice daily for 5 days,One tablet (500 mg sulopenem etzadroxil and 500 mg probenecid) orally twice daily for 5 days
"

What is the indicated age group for ORLYNVAH treatment?",Adult women only,Adult women only
"

What percentage of KISUNLA clinical trial patients were 65 years and older?",90%,90%
"

How should XOLREMDI be taken with respect to meals?",On an empty stomach at least 2 hours before a meal,"On an empty stomach after overnight fast, at least 30 minutes before food"
"

How many injection sites are recommended for LETYBO treatment of glabellar lines?",5 sites,5 sites
"

What should be done if a dose of ORLYNVAH is missed?","Take the dose as soon as possible, but do not double the dose","Take the dose as soon as possible, but do not double the dose"
"

How long must patients be on dialysis before starting VAFSEO?",At least three months,At least three months
"

What is the morning dose of AQNEURSA for patients weighing 35 kg or more?",2 grams,2 grams
"

What is the capsule strength available for XOLREMDI?",100 mg capsules,100 mg capsules
"

Has the safety and effectiveness of SOFDRA been established in children under 9 years of age?",No,No
"

For how long should patients continue taking LAZCLUZE?",Until disease progression or unacceptable toxicity,Until disease progression or unacceptable toxicity
"

Is TRYVIO recommended for patients with moderate to severe hepatic impairment?","No, it is not recommended","No, it is not recommended"
"

What is the recommended dosage range for YORVIPATH?",6 to 30 mcg once daily,6 to 30 mcg once daily
