input,answer,model_response
What is the preferred treatment for rhodesiense human African trypanosomiasis in patients ≥6 years of age and weighing ≥20 kg?,Fexinidazole is the preferred treatment for rhodesiense human African trypanosomiasis in patients ≥6 years of age and weighing ≥20 kg.,Fexinidazole is the preferred treatment for rhodesiense human African trypanosomiasis in patients ≥6 years of age and weighing ≥20 kg.
What approach is recommended for those with a new diagnosis of asthma or COPD?,Symptom-based case finding and guideline-based interventions are recommended for those with a new diagnosis of asthma or COPD.,Symptom-based case finding and guideline-based interventions are recommended for those with a new diagnosis of asthma or COPD.
What abortive medications should clinicians use in the prodromal phase of CHS?,"In the prodromal phase of CHS, clinicians should use triptans, H1-antihistamines, or benzodiazepines as abortive medications.","In the prodromal phase of CHS, clinicians should use triptans, H1-antihistamines (e.g., diphenhydramine), or benzodiazepines as abortive medications."
"What is the recommended nucleic acid testing protocol for infants with perinatal HCV exposure, including timing and follow-up requirements?","Infants with perinatal HCV exposure should have a nucleic acid test (NAT) at age 2–6 months; if that test is negative (undetectable HCV RNA), no further follow-up is needed.","Infants with perinatal HCV exposure should have a nucleic acid test (NAT) at age 2–6 months, with follow-up testing at 12–24 months if the initial test is negative."
What classification system is recommended for use as a reporting standard of disease extent in patients with aortic dissection?,"In patients with aortic dissection, Ishimaru zones are recommended for use as a reporting standard of disease extent.","In patients with aortic dissection, IRAD classification is recommended for use as a reporting standard of disease extent."
What blood pressure target should be used when treating patients with hypertension who are at high cardiovascular risk?,"For most patients with hypertension at high cardiovascular risk, use intensive blood pressure lowering with a target systolic blood pressure <120 mmHg.","For most patients with hypertension at high cardiovascular risk, use intensive blood pressure lowering with a target systolic blood pressure <120 mmHg."
What Hib vaccines should be included as preferred options for American Indian/Alaska Native infants?,The hexavalent DTaP-IPV-Hib-HepB vaccine should be included with PRP-OMP as a preferred Hib vaccine for American Indian/Alaska Native infants.,"The hexavalent DTaP-IPV-Hib-HepB vaccine should be included as a preferred Hib option for American Indian/Alaska Native infants, in addition to PRP-OMP."
What components should be included in all standard TNE studies?,"All standard TNE studies should include continuous-wave Doppler of any TR and/or PI jet, systolic EI, and evaluation of PA Doppler waveform for PVR index and the presence of notching.",All standard TNE studies should include continuous wave Doppler of any present TR and/or PI and assessment of PA systolic pressure.
What treatment should be added for patients aged 3 months or older with uncontrolled atopic dermatitis that is refractory to moisturization alone?,"In patients aged 3 months or older with uncontrolled atopic dermatitis refractory to moisturization alone, add a topical calcineurin inhibitor (pimecrolimus, tacrolimus).","In patients aged 3 months or older with uncontrolled atopic dermatitis refractory to moisturization alone, add a topical calcineurin inhibitor (pimecrolimus, tacrolimus)."
What should infants with perinatal exposure to HIV be screened for?,Infants with perinatal exposure to HIV should be screened for congenital cytomegalovirus.,Infants with perinatal exposure to HIV should be screened for congenital cytomegalovirus.
