input,model_response,answer
"

What is the recommended total dose of LETYBO for treating glabellar lines?","100 units

",20 Units per treatment session
"

How frequently can LETYBO be administered?",,No more frequently than every three months
"

What is the indicated age range for LETYBO treatment?","12 years and older

",Adult patients only
"

What are the absolute contraindications for LETYBO?",,"Known hypersensitivity to botulinum toxin preparations or components, and infection at injection sites"
"

What is the recommended injection volume of LETYBO per injection site?","1 mL

",0.1 mL per injection site
"

How many injection sites are recommended for LETYBO treatment of glabellar lines?","1

",5 sites
"

What is the maximum duration for using reconstituted LETYBO?","24 hours

",24 hours after reconstitution
"

What is the recommended storage temperature for reconstituted LETYBO?","2°C to 8°C (36°F to 46°F)

",Between 2°C to 8°C (36°F to 46°F)
"

What are the contraindications for MIPLYFFA?",,None
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 8-15 kg?","10 mg

",47 mg three times a day
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 15-30 kg?","100 mg

",62 mg three times a day
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 30-55 kg?","100 mg once daily

",93 mg three times a day
"

What is the recommended oral dosage of MIPLYFFA for patients weighing more than 55 kg?","100 mg once daily

",124 mg three times a day
"

What is the minimum age for which MIPLYFFA is indicated?","12 years

",2 years of age
"

What is the recommended dosage of MIPLYFFA for patients with renal impairment (eGFR 15 to <50 mL/minute) weighing 8-15 kg?","10 mg/kg/day

",47 mg two times a day
"

Can MIPLYFFA be taken with or without food?",,"Yes, it can be taken with or without food"
"

What is the indicated age range for SOFDRA treatment?","12 years and older

",9 years of age and older
"

What is the recommended daily dosage of SOFDRA for axillary hyperhidrosis?","100 mg

",One pump per underarm once daily at bedtime
"

What medical conditions are contraindications for SOFDRA use?",,"Glaucoma, paralytic ileus, unstable cardiovascular status in acute hemorrhage, severe ulcerative colitis, toxic megacolon, myasthenia gravis, and Sjögren's syndrome"
"

How long should patients wait after applying SOFDRA before showering?","1 hour

",At least 8 hours
"

How long should patients wait after shaving before applying SOFDRA?","10 minutes

",At least 8 hours
"

How long should patients wait after showering before applying SOFDRA?","10 minutes

",At least 30 minutes
