input,answer,model_response
What is the preferred treatment for rhodesiense human African trypanosomiasis in patients ≥6 years of age and weighing ≥20 kg?,Fexinidazole is the preferred treatment for rhodesiense human African trypanosomiasis in patients ≥6 years of age and weighing ≥20 kg.,Fexinidazole is the preferred treatment for rhodesiense human African trypanosomiasis in patients ≥6 years of age and weighing ≥20 kg.
What approach is recommended for those with a new diagnosis of asthma or COPD?,Symptom-based case finding and guideline-based interventions are recommended for those with a new diagnosis of asthma or COPD.,"For those with a new diagnosis of asthma or COPD, it is recommended to refer to a clinician trained in providing multidisciplinary asthma/COPD care."
What abortive medications should clinicians use in the prodromal phase of CHS?,"In the prodromal phase of CHS, clinicians should use triptans, H1-antihistamines, or benzodiazepines as abortive medications.",Clinicians should use benzodiazepines or triptans as abortive medications in the prodromal phase of CHS.
"What is the recommended nucleic acid testing protocol for infants with perinatal HCV exposure, including timing and follow-up requirements?","Infants with perinatal HCV exposure should have a nucleic acid test (NAT) at age 2–6 months; if that test is negative (undetectable HCV RNA), no further follow-up is needed.","For infants with perinatal HCV exposure, a single HCV RNA test is recommended at 2–6 months of age. If the initial test is negative, no further follow-up is needed. If the test is positive, repeat HCV RNA testing should be conducted after the infant is 12 months old to confirm chronic infection."
What classification system is recommended for use as a reporting standard of disease extent in patients with aortic dissection?,"In patients with aortic dissection, Ishimaru zones are recommended for use as a reporting standard of disease extent.",Use of the Classification of Malperfusion and Extent (CME) system is recommended as a reporting standard of disease extent in patients with aortic dissection.
What blood pressure target should be used when treating patients with hypertension who are at high cardiovascular risk?,"For most patients with hypertension at high cardiovascular risk, use intensive blood pressure lowering with a target systolic blood pressure <120 mmHg.",Use a systolic blood pressure target of less than 120 mmHg when treating patients with hypertension who are at high cardiovascular risk.
What Hib vaccines should be included as preferred options for American Indian/Alaska Native infants?,The hexavalent DTaP-IPV-Hib-HepB vaccine should be included with PRP-OMP as a preferred Hib vaccine for American Indian/Alaska Native infants.,The hexavalent DTaP-IPV-Hib-HepB vaccine should be included with PRP-OMP as a preferred Hib vaccine for American Indian/Alaska Native infants.
What components should be included in all standard TNE studies?,"All standard TNE studies should include continuous-wave Doppler of any TR and/or PI jet, systolic EI, and evaluation of PA Doppler waveform for PVR index and the presence of notching.","All standard TNE studies should include assessment of RV size and function, estimation of PAP, and evaluation for the presence of shunts."
What treatment should be added for patients aged 3 months or older with uncontrolled atopic dermatitis that is refractory to moisturization alone?,"In patients aged 3 months or older with uncontrolled atopic dermatitis refractory to moisturization alone, add a topical calcineurin inhibitor (pimecrolimus, tacrolimus).","For patients aged 3 months or older with uncontrolled atopic dermatitis refractory to moisturization alone, add a topical calcineurin inhibitor (pimecrolimus, tacrolimus)."
What should infants with perinatal exposure to HIV be screened for?,Infants with perinatal exposure to HIV should be screened for congenital cytomegalovirus.,Infants with perinatal exposure to HIV should be screened for congenital cytomegalovirus (cCMV).
What screening should be performed in adolescents given the association with depression and suicide risk?,"Screen for substance use disorders in adolescents, as substance use is often associated with depression and is a risk factor for suicidal thoughts and behaviors.","In adolescents, screening for substance use should be performed, as substance use is associated with depression and increased risk for suicidal thoughts and behaviors."
When should Abrysvo RSV vaccine be administered during pregnancy to induce antibodies in neonates?,Abrysvo RSV vaccine is recommended in the last month of pregnancy to induce antibodies in neonates.,Abrysvo RSV vaccine can be administered during the last month of pregnancy to induce antibodies in neonates.
What consolidation therapy is recommended for patients with limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation?,"For patients with limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation, consolidation with durvalumab for two years or until progression is recommended.","For patients with limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation, consolidation with durvalumab for two years or until progression is recommended."
What should be the approach regarding postoperative supervised therapy after carpal tunnel release?,Postoperative supervised therapy should not be routinely prescribed after carpal tunnel release.,Postoperative supervised therapy should not be routinely prescribed after carpal tunnel release.
"What is the recommended timing for initiating PPH treatment bundle interventions, and what should be done if not all bundle components are available?","All interventions in the PPH treatment bundle should ideally be initiated within the first 15 minutes after a diagnosis of PPH. If not all bundle interventions are available, available components should be initiated in a timely and standardized manner.","All interventions in the PPH treatment bundle should ideally be initiated within the first 15 minutes after a diagnosis of PPH. If not all bundle components are available, available interventions should be initiated promptly."
How should testing for respiratory viruses be performed?,Testing for respiratory viruses should be performed following FDA-approved manufacturers' recommendations.,"Testing for respiratory viruses should be performed according to current guidelines and recommendations. This includes multiplex PCR for symptomatic individuals and during outbreaks, as well as specific testing for SARS-CoV-2 and influenza when indicated."
What is the recommended first-line treatment regimen for acute simple cystitis in adult females using pivmecillinam?,"Pivmecillinam is recommended as a first-line treatment option for acute simple cystitis in adult females, with a dosage of 185 mg pivmecillinam base (equivalent to 200 mg pivmecillinam hydrochloride) orally three times daily for three to seven days.","Pivmecillinam is recommended as a first-line treatment option for acute simple cystitis in adult females, with a dosage of 185 mg orally three times daily for three to seven days."
What five steps should clinicians take before initiating any new therapy for patients with atopic dermatitis of any severity?,"Clinicians managing all severities of atopic dermatitis should, before issuing any new therapy, (1) ensure the correct diagnosis and identify complicating diagnoses, (2) provide education about the disease and an action plan, (3) address trigger avoidance, (4) ensure proper medication use/adherence, and (5) encourage application of a bland moisturizer titrated to symptomatic benefit (at least once, often multiple times, per day).","Before initiating any new therapy for patients with atopic dermatitis of any severity, clinicians should ensure that:

1. A proper diagnosis has been made.
2. Triggers have been identified and addressed.
3. Basic management measures are in place.
4. Patient and/or caregiver education has been provided.
5. Comorbidities have been identified and managed."
What should comprehensive echocardiographic surveillance include when monitoring pediatric cancer patients?,"Comprehensive echocardiographic surveillance of pediatric cancer patients should include serial assessment of right ventricular size, function, and systolic pressure.","Comprehensive echocardiographic surveillance of pediatric cancer patients should include serial assessment of right ventricular (RV) size, function, and systolic pressure."
For which high-risk patients with FH and ASCVD is lipoprotein apheresis considered reasonable?,Lipoprotein apheresis is reasonable for high-risk patients with FH and ASCVD (coronary or peripheral arteries) whose Lp(a) level remains ≥60 mg/dL (∼150 nmol/L) and LDL-C ≥ 100 mg/dL on maximally tolerated lipid-lowering therapy.,Lipoprotein apheresis is considered reasonable for high-risk patients with FH and ASCVD who have an Lp(a) level ≥60 mg/dL (≥150 nmol/L) and meet specific LDL-C or non–HDL-C criteria.
"What medications and supplements should be prescribed for patients in the inter-episodic phase of CHS, and what is the minimal effective dosing for TCAs?","In the inter-episodic phase of CHS, clinicians should use tricyclic antidepressants (TCAs; e.g., amitriptyline, nortriptyline), anticonvulsants, and mitochondrial supplements (e.g., vitamin B2, coenzyme Q10), with a minimal effective dosing of TCAs thought to be 75 mg to 100 mg of amitriptyline.","In the inter-episodic phase of CHS, tricyclic antidepressants (TCAs) and mitochondrial supplements such as coenzyme Q10 and riboflavin should be prescribed. TCAs should be used at a minimal effective dose of amitriptyline 25 mg."
"In the preoperative evaluation for noncardiac surgery, when should stress testing be considered?",Stress testing should be considered only in select patients with elevated risk and poor or unknown functional capacity if an indication for testing exists independent of planned surgery or if high-risk myocardial ischemia is suspected.,"In the preoperative evaluation for noncardiac surgery, stress testing should be considered only if the patient has elevated risk and poor or unknown functional capacity, plus three or more RCRI risk factors and a high-risk indication such as unstable angina, recent MI, decompensated heart failure, significant arrhythmias, or severe valvular disease."
How should pathologists validate laboratory-developed tests for PD-L1 expression?,Pathologists who choose to use laboratory-developed tests for PD-L1 expression should validate according to the requirements of their accrediting body.,"Pathologists who choose to use laboratory-developed tests for PD-L1 expression should validate according to the requirements of their accrediting body, ensuring appropriate performance for each clinical indication."
What type of evaluation should patients undergo before renal denervation?,Patients should be evaluated by multidisciplinary teams before they undergo renal denervation.,Patients should be evaluated by multidisciplinary teams before undergoing renal denervation.
What approach to supplemental oxygen should be considered for symptom reduction in people with serious respiratory illness?,Either administering or not administering supplemental oxygen may be considered to reduce symptoms in people with serious respiratory illness.,Increased flow of supplemental oxygen should be considered to reduce symptoms in people with serious respiratory illness.
What adjunctive therapy is recommended for patients with congenital adrenal hyperplasia due to 21-hydroxylase deficiency (21-OHD CAH) to allow for reduction in glucocorticoid doses while maintaining androgen suppression?,"Crinecerfont, an oral CRF type 1 receptor antagonist, is recommended as adjunctive therapy for patients with congenital adrenal hyperplasia due to 21-hydroxylase deficiency (21-OHD CAH) to allow for reduction in glucocorticoid doses while maintaining androgen suppression.","In patients with congenital adrenal hyperplasia due to 21-hydroxylase deficiency (21-OHD CAH), crinecerfont is recommended as adjunctive therapy to allow for reduction in glucocorticoid doses while maintaining androgen suppression."
What alternative to autoinjectors should be considered for anaphylaxis treatment in children and adults weighing ≥30 kg?,Epinephrine nasal spray (neffy) should be considered as an alternative to autoinjectors for anaphylaxis treatment in children and adults weighing ≥30 kg.,Epinephrine nasal spray (neffy) should be considered as an alternative to autoinjectors for anaphylaxis treatment in children and adults weighing ≥30 kg.
What preparation is recommended before all elective colorectal resection?,Mechanical bowel preparation plus oral antibiotics is recommended before all elective colorectal resection.,Mechanical bowel preparation plus oral antibiotics is recommended before all elective colorectal resection.
What is the recommended timing for potassium iodide (KI) administration relative to hospital admission in patients with thyroid storm?,Potassium iodide (KI) is recommended within two days of hospital admission for thyroid storm to reduce length of stay and costs.,Potassium iodide (KI) is recommended within two days of hospital admission for thyroid storm to potentially reduce length of stay and complications.
What specific services and requirements must SMA specialty care centers provide when accepting newborn screening referrals?,"Every SMA specialty care center accepting SMA newborn screening referrals should provide prompt initial evaluation within 2 days, follow-up visits, access to treatment options, confirmatory diagnostic testing, education and resources for caregivers, and coordination with primary care provider and other specialists.","SMA specialty care centers accepting newborn screening referrals must provide timely diagnostic evaluations, confirmatory testing, and access to FDA-approved therapies. They must also offer genetic counseling and ongoing multidisciplinary care."
What is the preferred treatment regimen for a patient with a first Helicobacter pylori infection?,"For a patient with a first Helicobacter pylori infection, the preferred treatment regimen is a 14-day course of a bismuth salt, metronidazole or tinidazole, tetracycline, and a proton-pump inhibitor (PPI).","For a first Helicobacter pylori infection, the preferred treatment is a 14-day course of a bismuth-containing quadruple regimen (bismuth, metronidazole, tetracycline, and a proton pump inhibitor)."
What treatment is recommended as an alternative to granulocyte colony-stimulating factor for patients ≥12 years of age with WHIM syndrome due to a confirmed CXCR4 variant who have significant lymphopenia and related infections?,Mavorixafor is recommended as an alternative to granulocyte colony-stimulating factor for patients ≥12 years of age with WHIM syndrome due to a confirmed CXCR4 variant who have significant lymphopenia and related infections.,Mavorixafor is recommended as an alternative to granulocyte colony-stimulating factor for patients ≥12 years of age with WHIM syndrome due to a confirmed CXCR4 variant who have significant lymphopenia and related infections.
What treatment should be used to reduce transfusion dependence in patients with lower-risk myelodysplastic syndromes who are refractory to erythropoiesis-stimulating agents?,Imetelstat should be used to reduce transfusion dependence in patients with lower-risk myelodysplastic syndromes who are refractory to erythropoiesis-stimulating agents.,Imetelstat should be used to reduce transfusion dependence in patients with lower-risk myelodysplastic syndromes who are refractory to erythropoiesis-stimulating agents.
What type of EEG monitoring should be performed in post-cardiac arrest patients who are unable to follow commands?,"Spot electroencephalography (EEG), rather than continuous EEG, can be performed in post-cardiac arrest patients who are unable to follow commands.",Spot electroencephalography (EEG) should be performed in post-cardiac arrest patients who are unable to follow commands.
What method should be used to estimate height from knee-height measurements in children 7 to 12 years old with spinal deformities or extremity contractures?,The Rumapea method should be used to estimate height from knee-height measurements in children 7 to 12 years old with spinal deformities or extremity contractures.,The Rumapea method should be used to estimate height from knee-height measurements in children 7 to 12 years old with spinal deformities or extremity contractures.
"What imaging modalities should be used to monitor gout, and what aspects can they assess?","In gout, ultrasound and DECT can be used to monitor crystal deposition and in case of ultrasound, also inflammation. Both modalities provide additional information on top of clinical and biochemical assessment. In case ultrasound/DECT are not available, CR can be used to assess structural damage due to gout.","In monitoring gout, ultrasound and DECT can be used. Ultrasound can assess for changes in tophus size and crystal deposition, while DECT can evaluate changes in urate crystal burden."
What should trauma centers implement and monitor regarding geriatric trauma response?,Implement defined geriatric trauma activation criteria that are monitored for compliance in trauma centers.,Trauma centers should implement and monitor a geriatric-specific trauma activation trigger for patients aged 65 and older.
"What screening procedure is recommended for PLHIV younger than 35 who have anal symptoms or abnormalities on digital examination, regardless of history of anal intercourse?","For PLHIV younger than 35 who have anal symptoms or abnormalities on digital examination, standard anoscopy is recommended regardless of history of anal intercourse.","For PLHIV younger than 35 who have anal symptoms or abnormalities on digital examination, standard anoscopy is recommended regardless of history of anal intercourse."
What is the recommended use of pitolisant in children with narcolepsy?,Pitolisant is recommended as an add-on or second-line therapy for narcolepsy in children six years of age and older who do not respond to or tolerate first-line therapies.,Pitolisant is recommended as an add-on or second-line therapy for narcolepsy in children six years and older.
What therapy formats should not be used as primary treatments for PTSD?,"Group, marital, or family therapy formats should not be used as primary treatments for PTSD.","Group, marital, or family therapy formats should not be used as primary treatments for PTSD."
What is the recommended first-line treatment regimen for acute simple cystitis in adult females?,Use pivmecillinam 185 mg orally three times daily for 3-7 days as a first-line option for treatment of acute simple cystitis in adult females.,"For acute simple cystitis in adult females, pivmecillinam is recommended as a first-line treatment option, with a dosage of 185 mg taken orally three times daily for three to seven days."
What type of palliative care should be considered for patients with advanced lung cancer as an alternative to early palliative care?,Stepped palliative care should be considered for patients with advanced lung cancer as an alternative to early palliative care.,Stepped palliative care should be considered as an alternative to early palliative care for patients with advanced lung cancer.
What clinical steps should be taken when a patient's suicide screen is positive?,"If suicide screen is positive, conduct a Brief Suicide Safety Assessment (BSSA) and subsequent safety planning and/or referrals as appropriate.","If a patient's suicide screen is positive, a brief suicide safety assessment (BSSA) should be conducted to determine if a safety plan and/or further evaluation is needed."
"What blood pressure thresholds should be achieved in adult patients, including those on extracorporeal membrane oxygenation, before BD/DNC testing?","In adult patients, including those on extracorporeal membrane oxygenation, systolic blood pressure ≥100 mm Hg and mean arterial pressure ≥75 mm Hg should be achieved before BD/DNC testing.","In adult patients, including those on extracorporeal membrane oxygenation, systolic blood pressure ≥100 mm Hg and mean arterial pressure ≥75 mm Hg should be achieved before BD/DNC testing."
What influenza vaccine options are acceptable for adult solid organ transplant recipients receiving immunosuppressive medications?,High-dose inactivated influenza vaccine (HD-IIV3) or adjuvanted inactivated influenza vaccine (aIIV3) are acceptable options for adult solid organ transplant recipients receiving immunosuppressive medications.,"For adult solid organ transplant recipients receiving immunosuppressive medications, either a high-dose inactivated influenza vaccine (HD-IIV3) or an adjuvanted inactivated influenza vaccine (aIIV3) are acceptable options."
What therapy should be used to reduce fatigue in people with serious respiratory illness?,Graded exercise therapy should be used to reduce fatigue in people with serious respiratory illness.,Graded exercise therapy should be used to reduce fatigue in people with serious respiratory illness.
What type of continuous glucose monitoring system should be used for patients with type 1 diabetes?,"For patients with type 1 diabetes, real-time CGM with algorithm-driven insulin pumps should be used rather than intermittently scanned systems.","For patients with type 1 diabetes, a real-time CGM (rtCGM) system should be used rather than an intermittently scanned CGM system."
What antibiotic prophylaxis should be administered for patients with moderate-to-severe traumatic brain injury who require mechanical ventilation?,A single dose of ceftriaxone (2 g intravenously) should be administered within 12 hours of intubation for patients with moderate-to-severe traumatic brain injury who require mechanical ventilation.,A single dose of ceftriaxone 2 g IV should be administered within 12 hours of intubation for patients with moderate-to-severe traumatic brain injury who require mechanical ventilation.
"What program should be implemented to facilitate hospice care enrollment for eligible older adult patients following emergency department visits, and within what timeframe?",Multidisciplinary programs should be implemented to identify and enroll eligible older adult patients in hospice care within 96 hours of emergency department visits.,Multidisciplinary programs should be implemented to identify and enroll eligible older adult patients in hospice care within 96 hours of emergency department visits.
What is the current classification of Bictegravir/FTC/TAF for initial HIV therapy during pregnancy?,Bictegravir/FTC/TAF is now considered an alternative for initial HIV therapy during pregnancy.,Bictegravir/FTC/TAF is now considered an alternative for initial HIV therapy during pregnancy.
What imaging modality should clinicians avoid using as a surveillance tool for lung cancer recurrence?,Clinicians should not use 18F-labeled fluorodeoxyglucose positron emission tomography as a surveillance tool for lung cancer recurrence.,Clinicians should not use ^18F-labeled fluorodeoxyglucose positron emission tomography as a surveillance tool for lung cancer recurrence.
What COVID-19 vaccination products are recommended for both primary series and boosters?,COVID-19 vaccination with current monovalent 2023–2024 products is recommended for both primary series and boosters.,COVID-19 vaccination with 2023–2024 formula products is recommended for both primary series and boosters.
What immunosuppressive regimen may be preferred for patients with repeated kidney flares or at high-risk for progression to kidney failure due to severe chronic kidney disease?,A triple immunosuppressive regimen of belimumab with glucocorticoids and either MPAA or reduced-dose cyclophosphamide may be preferred in patients with repeated kidney flares or at high-risk for progression to kidney failure due to severe chronic kidney disease.,Belimumab plus standard induction and maintenance immunosuppressive regimens may be preferred for patients with repeated kidney flares or at high-risk for progression to kidney failure due to severe chronic kidney disease.
What should be the criteria for emergent surgical intervention in pregnant IBD patients compared to non-pregnant IBD patients?,Indications for emergent surgical intervention should be the same in pregnant and non-pregnant IBD patients.,Indications for emergent surgical intervention should be the same in pregnant and non-pregnant IBD patients.
What medications should be used in addition to usual care to manage symptoms of cannabinoid hyperemesis syndrome in adult patients?,Use dopamine antagonists such as droperidol or haloperidol in addition to usual care to manage symptoms of cannabinoid hyperemesis syndrome in adult patients.,Use dopamine antagonists such as droperidol or haloperidol in addition to usual care to manage symptoms of cannabinoid hyperemesis syndrome in adult patients.
"How frequently should atherosclerotic cardiovascular disease risk be estimated in adults aged 40-79 years, and what is the purpose of this assessment?","In adults 40-79 years of age, estimation of risk for atherosclerotic cardiovascular disease (ie, nonfatal MI, nonfatal stroke, and fatal CVD) every 1 to 5 years is beneficial to guide decisions on treatments and lifestyle recommendations that may reduce risk for stroke.","In adults aged 40-79 years, atherosclerotic cardiovascular disease risk should be estimated every one to five years. The purpose of this assessment is to guide decisions on risk factor interventions."
What treatment option should clinicians consider for obesity in children 6 to <12 years old?,Clinicians should consider liraglutide as a treatment option for obesity in children 6 to <12 years old.,Clinicians should consider liraglutide as a treatment option for obesity in children 6 to <12 years old.
What antibiotic regimen is recommended for patients with traumatic brain injury who require endotracheal intubation to prevent ventilator-associated pneumonia?,A single dose of ceftriaxone 2 g IV is recommended in patients with traumatic brain injury who require endotracheal intubation to decrease the risk of ventilator-associated pneumonia.,"For patients with traumatic brain injury who require endotracheal intubation, a single dose of ceftriaxone 2 g IV is recommended to decrease the risk of ventilator-associated pneumonia."
What bronchodilator is recommended for COPD patients requiring dual bronchodilator therapy but unable to tolerate one of the other inhaled agents?,Nebulized ensifentrine is recommended as an alternative bronchodilator in COPD patients requiring dual bronchodilator therapy but unable to tolerate one of the other inhaled agents.,Nebulized ensifentrine is recommended as an alternative bronchodilator in COPD patients requiring dual bronchodilator therapy but unable to tolerate one of the other inhaled agents.
What should be considered as a first- or second-line therapy option for adults with moderate to severe ulcerative colitis?,Risankizumab should be considered as a first- or second-line therapy option for adults with moderate to severe ulcerative colitis.,Risankizumab should be considered as a first- or second-line therapy option for adults with moderate to severe ulcerative colitis.
"What consolidation therapy should be given to patients with unresectable, limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation?","Patients with unresectable, limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation should receive consolidation with durvalumab for two years or until progression, whichever comes first.","Patients with unresectable, limited-stage small cell lung cancer who have not experienced progression after concurrent chemoradiation should receive consolidation with durvalumab for two years or until progression, whichever comes first."
How should the quantity of DoxyPEP be determined when writing prescriptions for interested patients?,Patients interested in DoxyPEP should receive a prescription for the expected number of doses until the next visit.,Patients interested in DoxyPEP should receive a prescription for the expected number of doses until the next visit.
What intervention should be used to reduce breathlessness in people with serious respiratory illness?,Increased airflow should be used to reduce breathlessness in people with serious respiratory illness.,Increased airflow should be used to reduce breathlessness in people with serious respiratory illness.
What surgical approach is recommended for patients with stage IB1 cervical cancer with limited stromal invasion (less than 10 mm on excisional specimen or less than 50 percent depth on MRI)?,Simple hysterectomy plus lymphadenectomy is recommended over modified or radical hysterectomy for patients with stage IB1 cervical cancer with limited stromal invasion (less than 10 mm on excisional specimen or less than 50 percent depth on MRI).,Simple hysterectomy plus lymphadenectomy is recommended over modified or radical hysterectomy for patients with stage IB1 cervical cancer with limited stromal invasion (less than 10 mm on excisional specimen or less than 50 percent depth on MRI).
What two clinical assessments should be performed at each occurrence/recurrence of bladder cancer?,"At the time of each occurrence/recurrence of bladder cancer, assign a clinical stage and classify the patient as ""low-,"" ""intermediate-,"" or ""high-risk.""",Assign a clinical stage and classify the risk category at each occurrence/recurrence of bladder cancer.
