input,model_response,answer
"

What is the contraindication for initiating VOYDEYA treatment?",Unresolved serious infection caused by encapsulated bacteria,Unresolved serious infection caused by encapsulated bacteria
"

What is the recommended total dose of LETYBO for treating glabellar lines?",20 Units per treatment session,20 Units per treatment session
"

What is the adjusted dosage of REZDIFFRA for patients 100 kg or more when taking moderate CYP2C8 inhibitors?",80 mg once daily,80 mg once daily
"

What is the recommended daily dosage of REZDIFFRA for patients weighing less than 100 kg?",80 mg orally once daily,80 mg orally once daily
"

Is LEQSELVI recommended for use in patients with severe renal impairment?",No,No
"

What is the indicated age group for REZDIFFRA treatment?",Adults only,Adults only
"

Are there any absolute contraindications for REZDIFFRA?",None,None
"

What was the age range of patients studied in clinical trials for VYLOY?",20 to 86 years,20 to 86 years
"

When can the VOYDEYA dose be increased to 200 mg three times a day?","If hemoglobin has not increased by >2 g/dL after 4 weeks, if patient required transfusion during previous 4 weeks, or to achieve appropriate Hgb response based on clinical judgment","If hemoglobin has not increased by >2 g/dL after 4 weeks, if patient required transfusion during previous 4 weeks, or to achieve appropriate Hgb response based on clinical judgment"
"

What is the recommended amount of ZELSUVMI to dispense from each tube for application?",0.5 mL from each tube,0.5 mL from each tube
"

What is the maximum treatment duration for ZELSUVMI?",Up to 12 weeks,Up to 12 weeks
"

Can VOYDEYA be taken with or without food?",Can be taken with or without food,Can be taken with or without food
"

Is LEQSELVI contraindicated in patients who are CYP2C9 poor metabolizers?",Yes,Yes
"

What is the starting dose of YORVIPATH?",18 mcg once daily,18 mcg once daily
"

What serum calcium level must be achieved before starting YORVIPATH?",≥7.8 mg/dL,≥7.8 mg/dL
"

Does OHTUVAYRE require dosage adjustment in patients with mild to moderate renal impairment?",No dosage adjustment required,No dosage adjustment required
"

What is the indicated age range for IMDELLTRA treatment?",Adults only,Adults only
"

What is the loading dose of HYMPAVZI?",300 mg (two 150 mg subcutaneous injections),300 mg (two 150 mg subcutaneous injections)
"

Should LEQSELVI dosing be adjusted if a dose is missed?",Skip the missed dose and resume at next scheduled dose,Skip the missed dose and resume at next scheduled dose
"

How frequently should YORVIPATH be administered?",Once daily with only one injection,Once daily with only one injection
"

Has the safety and effectiveness of REZDIFFRA been established in pediatric patients?",No,No
"

What is the primary contraindication for LUMISIGHT?",History of hypersensitivity reaction to pegulicianine,History of hypersensitivity reaction to pegulicianine
"

What is the indicated age group for YORVIPATH?",Adults only,Adults only
"

What is the primary contraindication for KISUNLA?",Known serious hypersensitivity to donanemab-azbt or any of the excipients,Known serious hypersensitivity to donanemab-azbt or any of the excipients
"

What is the recommended daily dosage of LEQSELVI for adult patients with severe alopecia areata?",8 mg twice daily,8 mg twice daily
"

What is the recommended daily dosage of REZDIFFRA for patients weighing 100 kg or more?",100 mg orally once daily,100 mg orally once daily
